CCAA de destino,Países,Trimestre,Total gasto,Total turistas,Dias estancia media
"Balears, Illes",Noruega,2020T3,"1907404,48","1284,00","11,80"
"Balears, Illes",Noruega,2020T2,"0,00","397,00","13,03"
"Balears, Illes",Noruega,2020T1,"2281012,66","2708,00","9,37"
"Balears, Illes",Países Bajos,2023T2,"152357865,36","158803,00","5,83"
"Balears, Illes",Países Bajos,2023T1,"21875762,14","29330,00","7,60"
"Balears, Illes",Países Bajos,2022T4,"52600761,66","64687,00","7,90"
"Balears, Illes",Países Bajos,2022T3,"183227503,71","198794,00","6,80"
"Balears, Illes",Países Bajos,2022T2,"168596526,91","127302,00","6,10"
"Balears, Illes",Países Bajos,2022T1,"21632983,68","22386,00","8,47"
"Balears, Illes",Países Bajos,2021T4,"58743049,67","59878,00","7,90"
"Balears, Illes",Países Bajos,2021T3,"189217338,16","155746,00","6,70"
"Balears, Illes",Países Bajos,2021T2,"65937641,60","48529,00","7,57"
"Balears, Illes",Países Bajos,2021T1,"3130564,05","10180,00","9,77"
"Balears, Illes",Países Bajos,2020T4,"4461199,84","16293,00","13,67"
"Balears, Illes",Países Bajos,2020T3,"49959425,53","62725,00","9,30"
"Balears, Illes",Países Bajos,2020T2,"0,00","9312,00","12,47"
"Balears, Illes",Países Bajos,2020T1,"9425386,92","29620,00","8,73"
"Balears, Illes",Polonia,2023T2,"25420857,30","69852,00","5,23"
"Balears, Illes",Polonia,2023T1,"4136427,26","8338,00","6,30"
"Balears, Illes",Polonia,2022T4,"8676910,94","26018,00","6,57"
"Balears, Illes",Polonia,2022T3,"23279059,90","91851,00","6,00"
"Balears, Illes",Polonia,2022T2,"19926199,31","66821,00","5,63"
"Balears, Illes",Polonia,2022T1,"2786413,17","5109,00","7,93"
"Balears, Illes",Polonia,2021T4,"4756803,83","14029,00","6,43"
"Balears, Illes",Polonia,2021T3,"20441855,17","59541,00","6,10"
"Balears, Illes",Polonia,2021T2,"6615704,86","13965,00","6,53"
"Balears, Illes",Polonia,2021T1,"478859,71","1587,00","8,23"
"Balears, Illes",Polonia,2020T4,"749407,03","4033,00","10,77"
"Balears, Illes",Polonia,2020T3,"5949977,08","32808,00","7,03"
"Balears, Illes",Polonia,2020T2,"0,00","1329,00","11,07"
"Balears, Illes",Polonia,2020T1,"1482009,55","7445,00","7,77"
"Balears, Illes",Portugal,2023T2,"28126341,89","37132,00","5,03"
"Balears, Illes",Portugal,2023T1,"2415224,01","2450,00","6,50"
"Balears, Illes",Portugal,2022T4,"6552544,52","9321,00","7,47"
"Balears, Illes",Portugal,2022T3,"41475870,53","79156,00","6,53"
"Balears, Illes",Portugal,2022T2,"23223856,32","34739,00","5,20"
"Balears, Illes",Portugal,2022T1,"1865379,04","1259,00","7,60"
"Balears, Illes",Portugal,2021T4,"4526505,42","7226,00","7,70"
"Balears, Illes",Portugal,2021T3,"28839572,26","38704,00","6,37"
"Balears, Illes",Portugal,2021T2,"6745702,52","6164,00","6,93"
"Balears, Illes",Portugal,2021T1,"298230,22","662,00","9,40"
"Balears, Illes",Portugal,2020T4,"444334,49","1194,00","10,10"
"Balears, Illes",Portugal,2020T3,"4759493,34","8366,00","7,67"
"Balears, Illes",Portugal,2020T2,"0,00","337,00","14,13"
"Balears, Illes",Portugal,2020T1,"1031968,97","1557,00","9,10"
"Balears, Illes",Reino Unido,2023T2,"567790687,80","1365407,00","5,63"
"Balears, Illes",Reino Unido,2023T1,"67309364,99","112021,00","6,70"
"Balears, Illes",Reino Unido,2022T4,"189813057,94","390047,00","6,80"
"Balears, Illes",Reino Unido,2022T3,"688309645,14","1780006,00","6,77"
"Balears, Illes",Reino Unido,2022T2,"559370677,51","1293064,00","5,90"
