RESIDENCIA/ORIGEN;Continentes;Países;Concepto turístico;CCAA de destino;Periodo;Total
Total;Europa;Armenia;Turistas;Balears, Illes;2023M07;201
Total;Europa;Armenia;Turistas;Balears, Illes;2023M06;86
Total;Europa;Armenia;Turistas;Balears, Illes;2023M05;97
Total;Europa;Armenia;Turistas;Balears, Illes;2023M04;.
Total;Europa;Armenia;Turistas;Balears, Illes;2023M03;.
Total;Europa;Armenia;Turistas;Balears, Illes;2023M02;.
Total;Europa;Armenia;Turistas;Balears, Illes;2023M01;.
Total;Europa;Armenia;Turistas;Canarias;2023M09;.
Total;Europa;Armenia;Turistas;Canarias;2023M08;.
Total;Europa;Armenia;Turistas;Canarias;2023M07;.
Total;Europa;Armenia;Turistas;Canarias;2023M06;.
Total;Europa;Armenia;Turistas;Canarias;2023M05;.
Total;Europa;Armenia;Turistas;Canarias;2023M04;.
Total;Europa;Armenia;Turistas;Canarias;2023M03;.
Total;Europa;Armenia;Turistas;Canarias;2023M02;.
Total;Europa;Armenia;Turistas;Canarias;2023M01;64
Total;Europa;Armenia;Pernoctaciones;Balears, Illes;2023M09;443
Total;Europa;Armenia;Pernoctaciones;Balears, Illes;2023M08;1.050
Total;Europa;Armenia;Pernoctaciones;Balears, Illes;2023M07;704
Total;Europa;Armenia;Pernoctaciones;Balears, Illes;2023M06;353
Total;Europa;Armenia;Pernoctaciones;Balears, Illes;2023M05;262
Total;Europa;Armenia;Pernoctaciones;Balears, Illes;2023M04;.
Total;Europa;Armenia;Pernoctaciones;Balears, Illes;2023M03;.
Total;Europa;Armenia;Pernoctaciones;Balears, Illes;2023M02;.
Total;Europa;Armenia;Pernoctaciones;Balears, Illes;2023M01;.
Total;Europa;Armenia;Pernoctaciones;Canarias;2023M09;.
Total;Europa;Armenia;Pernoctaciones;Canarias;2023M08;.
Total;Europa;Armenia;Pernoctaciones;Canarias;2023M07;.
Total;Europa;Armenia;Pernoctaciones;Canarias;2023M06;.
Total;Europa;Armenia;Pernoctaciones;Canarias;2023M05;.
Total;Europa;Armenia;Pernoctaciones;Canarias;2023M04;.
Total;Europa;Armenia;Pernoctaciones;Canarias;2023M03;.
Total;Europa;Armenia;Pernoctaciones;Canarias;2023M02;.
Total;Europa;Armenia;Pernoctaciones;Canarias;2023M01;515
Total;Europa;Armenia;Duración media de los viajes;Balears, Illes;2023M09;4,3
Total;Europa;Armenia;Duración media de los viajes;Balears, Illes;2023M08;6,0
Total;Europa;Armenia;Duración media de los viajes;Balears, Illes;2023M07;3,5
Total;Europa;Armenia;Duración media de los viajes;Balears, Illes;2023M06;4,1
Total;Europa;Armenia;Duración media de los viajes;Balears, Illes;2023M05;2,7
Total;Europa;Armenia;Duración media de los viajes;Balears, Illes;2023M04;.
Total;Europa;Armenia;Duración media de los viajes;Balears, Illes;2023M03;.
Total;Europa;Armenia;Duración media de los viajes;Balears, Illes;2023M02;.
Total;Europa;Armenia;Duración media de los viajes;Balears, Illes;2023M01;.
Total;Europa;Armenia;Duración media de los viajes;Canarias;2023M09;.
Total;Europa;Armenia;Duración media de los viajes;Canarias;2023M08;.
Total;Europa;Armenia;Duración media de los viajes;Canarias;2023M07;.
Total;Europa;Armenia;Duración media de los viajes;Canarias;2023M06;.
Total;Europa;Armenia;Duración media de los viajes;Canarias;2023M05;.
Total;Europa;Armenia;Duración media de los viajes;Canarias;2023M04;.
Total;Europa;Armenia;Duración media de los viajes;Canarias;2023M03;.
Total;Europa;Armenia;Duración media de los viajes;Canarias;2023M02;.
Total;Europa;Armenia;Duración media de los viajes;Canarias;2023M01;8,0
Total;Europa;Austria;Turistas;Balears, Illes;2023M09;34.815
Total;Europa;Austria;Turistas;Balears, Illes;2023M08;41.123
Total;Europa;Austria;Turistas;Balears, Illes;2023M07;47.128
Total;Europa;Austria;Turistas;Balears, Illes;2023M06;35.930
Total;Europa;Austria;Turistas;Balears, Illes;2023M05;32.538
Total;Europa;Austria;Turistas;Balears, Illes;2023M04;27.123
Total;Europa;Austria;Turistas;Balears, Illes;2023M03;6.546
Total;Europa;Austria;Turistas;Balears, Illes;2023M02;4.217
Total;Europa;Austria;Turistas;Balears, Illes;2023M01;4.288
Total;Europa;Austria;Turistas;Canarias;2023M09;7.621
Total;Europa;Austria;Turistas;Canarias;2023M08;9.428
Total;Europa;Austria;Turistas;Canarias;2023M07;9.864
Total;Europa;Austria;Turistas;Canarias;2023M06;7.133
Total;Europa;Austria;Turistas;Canarias;2023M05;6.357
Total;Europa;Austria;Turistas;Canarias;2023M04;10.563
Total;Europa;Austria;Turistas;Canarias;2023M03;11.380
Total;Europa;Austria;Turistas;Canarias;2023M02;14.514
Total;Europa;Austria;Turistas;Canarias;2023M01;10.995
Total;Europa;Austria;Pernoctaciones;Balears, Illes;2023M09;212.372
Total;Europa;Austria;Pernoctaciones;Balears, Illes;2023M08;254.963
Total;Europa;Austria;Pernoctaciones;Balears, Illes;2023M07;278.055
Total;Europa;Austria;Pernoctaciones;Balears, Illes;2023M06;197.615
Total;Europa;Austria;Pernoctaciones;Balears, Illes;2023M05;172.451
Total;Europa;Austria;Pernoctaciones;Balears, Illes;2023M04;151.889
Total;Europa;Austria;Pernoctaciones;Balears, Illes;2023M03;42.549
Total;Europa;Austria;Pernoctaciones;Balears, Illes;2023M02;29.097
Total;Europa;Austria;Pernoctaciones;Balears, Illes;2023M01;33.446
Total;Europa;Austria;Pernoctaciones;Canarias;2023M09;64.410
Total;Europa;Austria;Pernoctaciones;Canarias;2023M08;84.363
Total;Europa;Austria;Pernoctaciones;Canarias;2023M07;82.278
Total;Europa;Austria;Pernoctaciones;Canarias;2023M06;60.591
Total;Europa;Austria;Pernoctaciones;Canarias;2023M05;58.739
Total;Europa;Austria;Pernoctaciones;Canarias;2023M04;91.330
Total;Europa;Austria;Pernoctaciones;Canarias;2023M03;107.517
Total;Europa;Austria;Pernoctaciones;Canarias;2023M02;128.315
Total;Europa;Austria;Pernoctaciones;Canarias;2023M01;97.112
