RESIDENCIA/ORIGEN;Continentes;Países;Concepto turístico;CCAA de destino;Periodo;Total
Total;América;Canadá;Turistas;Canarias;2023M08;458
Total;América;Canadá;Turistas;Canarias;2023M07;743
Total;América;Canadá;Turistas;Canarias;2023M06;729
Total;América;Canadá;Turistas;Canarias;2023M05;859
Total;América;Canadá;Turistas;Canarias;2023M04;1.316
Total;América;Canadá;Turistas;Canarias;2023M03;2.971
Total;América;Canadá;Turistas;Canarias;2023M02;1.598
Total;América;Canadá;Turistas;Canarias;2023M01;2.021
Total;América;Canadá;Pernoctaciones;Balears, Illes;2023M09;44.750
Total;América;Canadá;Pernoctaciones;Balears, Illes;2023M08;32.560
Total;América;Canadá;Pernoctaciones;Balears, Illes;2023M07;49.703
Total;América;Canadá;Pernoctaciones;Balears, Illes;2023M06;28.538
Total;América;Canadá;Pernoctaciones;Balears, Illes;2023M05;25.270
Total;América;Canadá;Pernoctaciones;Balears, Illes;2023M04;12.826
Total;América;Canadá;Pernoctaciones;Balears, Illes;2023M03;5.846
Total;América;Canadá;Pernoctaciones;Balears, Illes;2023M02;1.860
Total;América;Canadá;Pernoctaciones;Balears, Illes;2023M01;3.421
Total;América;Canadá;Pernoctaciones;Canarias;2023M09;4.869
Total;América;Canadá;Pernoctaciones;Canarias;2023M08;3.760
Total;América;Canadá;Pernoctaciones;Canarias;2023M07;5.408
Total;América;Canadá;Pernoctaciones;Canarias;2023M06;5.340
Total;América;Canadá;Pernoctaciones;Canarias;2023M05;5.391
Total;América;Canadá;Pernoctaciones;Canarias;2023M04;9.295
Total;América;Canadá;Pernoctaciones;Canarias;2023M03;22.851
Total;América;Canadá;Pernoctaciones;Canarias;2023M02;11.440
Total;América;Canadá;Pernoctaciones;Canarias;2023M01;14.156
Total;América;Canadá;Duración media de los viajes;Balears, Illes;2023M09;6,1
Total;América;Canadá;Duración media de los viajes;Balears, Illes;2023M08;5,5
Total;América;Canadá;Duración media de los viajes;Balears, Illes;2023M07;6,1
Total;América;Canadá;Duración media de los viajes;Balears, Illes;2023M06;4,9
Total;América;Canadá;Duración media de los viajes;Balears, Illes;2023M05;5,0
Total;América;Canadá;Duración media de los viajes;Balears, Illes;2023M04;5,5
Total;América;Canadá;Duración media de los viajes;Balears, Illes;2023M03;6,3
Total;América;Canadá;Duración media de los viajes;Balears, Illes;2023M02;7,1
Total;América;Canadá;Duración media de los viajes;Balears, Illes;2023M01;6,3
Total;América;Canadá;Duración media de los viajes;Canarias;2023M09;6,7
Total;América;Canadá;Duración media de los viajes;Canarias;2023M08;8,2
Total;América;Canadá;Duración media de los viajes;Canarias;2023M07;7,3
Total;América;Canadá;Duración media de los viajes;Canarias;2023M06;7,3
Total;América;Canadá;Duración media de los viajes;Canarias;2023M05;6,3
Total;América;Canadá;Duración media de los viajes;Canarias;2023M04;7,1
Total;América;Canadá;Duración media de los viajes;Canarias;2023M03;7,7
Total;América;Canadá;Duración media de los viajes;Canarias;2023M02;7,2
Total;América;Canadá;Duración media de los viajes;Canarias;2023M01;7,0
Total;América;Chile;Turistas;Balears, Illes;2023M09;851
Total;América;Chile;Turistas;Balears, Illes;2023M08;729
Total;América;Chile;Turistas;Balears, Illes;2023M07;1.103
Total;América;Chile;Turistas;Balears, Illes;2023M06;954
Total;América;Chile;Turistas;Balears, Illes;2023M05;532
Total;América;Chile;Turistas;Balears, Illes;2023M04;299
Total;América;Chile;Turistas;Balears, Illes;2023M03;118
Total;América;Chile;Turistas;Balears, Illes;2023M02;77
Total;América;Chile;Turistas;Balears, Illes;2023M01;97
Total;América;Chile;Turistas;Canarias;2023M09;138
Total;América;Chile;Turistas;Canarias;2023M08;176
Total;América;Chile;Turistas;Canarias;2023M07;205
Total;América;Chile;Turistas;Canarias;2023M06;221
Total;América;Chile;Turistas;Canarias;2023M05;161
Total;América;Chile;Turistas;Canarias;2023M04;190
Total;América;Chile;Turistas;Canarias;2023M03;181
Total;América;Chile;Turistas;Canarias;2023M02;139
Total;América;Chile;Turistas;Canarias;2023M01;167
Total;América;Chile;Pernoctaciones;Balears, Illes;2023M09;5.872
Total;América;Chile;Pernoctaciones;Balears, Illes;2023M08;4.811
Total;América;Chile;Pernoctaciones;Balears, Illes;2023M07;7.059
Total;América;Chile;Pernoctaciones;Balears, Illes;2023M06;6.964
Total;América;Chile;Pernoctaciones;Balears, Illes;2023M05;3.139
Total;América;Chile;Pernoctaciones;Balears, Illes;2023M04;2.183
Total;América;Chile;Pernoctaciones;Balears, Illes;2023M03;814
Total;América;Chile;Pernoctaciones;Balears, Illes;2023M02;508
Total;América;Chile;Pernoctaciones;Balears, Illes;2023M01;844
Total;América;Chile;Pernoctaciones;Canarias;2023M09;969
Total;América;Chile;Pernoctaciones;Canarias;2023M08;1.281
Total;América;Chile;Pernoctaciones;Canarias;2023M07;1.564
Total;América;Chile;Pernoctaciones;Canarias;2023M06;1.608
Total;América;Chile;Pernoctaciones;Canarias;2023M05;1.431
Total;América;Chile;Pernoctaciones;Canarias;2023M04;1.113
Total;América;Chile;Pernoctaciones;Canarias;2023M03;1.204
Total;América;Chile;Pernoctaciones;Canarias;2023M02;922
Total;América;Chile;Pernoctaciones;Canarias;2023M01;1.386
Total;América;Chile;Duración media de los viajes;Balears, Illes;2023M09;6,9
Total;América;Chile;Duración media de los viajes;Balears, Illes;2023M08;6,6
Total;América;Chile;Duración media de los viajes;Balears, Illes;2023M07;6,4
Total;América;Chile;Duración media de los viajes;Balears, Illes;2023M06;7,3
Total;América;Chile;Duración media de los viajes;Balears, Illes;2023M05;5,9
Total;América;Chile;Duración media de los viajes;Balears, Illes;2023M04;7,3
Total;América;Chile;Duración media de los viajes;Balears, Illes;2023M03;6,9
Total;América;Chile;Duración media de los viajes;Balears, Illes;2023M02;6,6
Total;América;Chile;Duración media de los viajes;Balears, Illes;2023M01;8,7
Total;América;Chile;Duración media de los viajes;Canarias;2023M09;7,0
Total;América;Chile;Duración media de los viajes;Canarias;2023M08;7,3
Total;América;Chile;Duración media de los viajes;Canarias;2023M07;7,6
Total;América;Chile;Duración media de los viajes;Canarias;2023M06;7,3
Total;América;Chile;Duración media de los viajes;Canarias;2023M05;8,9
Total;América;Chile;Duración media de los viajes;Canarias;2023M04;5,9
Total;América;Chile;Duración media de los viajes;Canarias;2023M03;6,7
Total;América;Chile;Duración media de los viajes;Canarias;2023M02;6,6
Total;América;Chile;Duración media de los viajes;Canarias;2023M01;8,3
Total;América;Colombia;Turistas;Balears, Illes;2023M09;2.206
Total;América;Colombia;Turistas;Balears, Illes;2023M08;2.519
Total;América;Colombia;Turistas;Balears, Illes;2023M07;3.152
Total;América;Colombia;Turistas;Balears, Illes;2023M06;2.419
Total;América;Colombia;Turistas;Balears, Illes;2023M05;2.126
Total;América;Colombia;Turistas;Balears, Illes;2023M04;2.018
Total;América;Colombia;Turistas;Balears, Illes;2023M03;889
Total;América;Colombia;Turistas;Balears, Illes;2023M02;803
Total;América;Colombia;Turistas;Balears, Illes;2023M01;1.018
Total;América;Colombia;Turistas;Canarias;2023M09;1.738
Total;América;Colombia;Turistas;Canarias;2023M08;1.720
Total;América;Colombia;Turistas;Canarias;2023M07;2.130
Total;América;Colombia;Turistas;Canarias;2023M06;1.646
Total;América;Colombia;Turistas;Canarias;2023M05;1.366
Total;América;Colombia;Turistas;Canarias;2023M04;1.369
Total;América;Colombia;Turistas;Canarias;2023M03;1.071
Total;América;Colombia;Turistas;Canarias;2023M02;1.226
Total;América;Colombia;Turistas;Canarias;2023M01;1.614
Total;América;Colombia;Pernoctaciones;Balears, Illes;2023M09;17.869
Total;América;Colombia;Pernoctaciones;Balears, Illes;2023M08;22.419
Total;América;Colombia;Pernoctaciones;Balears, Illes;2023M07;25.531
Total;América;Colombia;Pernoctaciones;Balears, Illes;2023M06;23.222
Total;América;Colombia;Pernoctaciones;Balears, Illes;2023M05;21.260
Total;América;Colombia;Pernoctaciones;Balears, Illes;2023M04;20.382
Total;América;Colombia;Pernoctaciones;Balears, Illes;2023M03;9.068
Total;América;Colombia;Pernoctaciones;Balears, Illes;2023M02;7.629
Total;América;Colombia;Pernoctaciones;Balears, Illes;2023M01;13.234
Total;América;Colombia;Pernoctaciones;Canarias;2023M09;14.979
Total;América;Colombia;Pernoctaciones;Canarias;2023M08;15.844
Total;América;Colombia;Pernoctaciones;Canarias;2023M07;17.389
Total;América;Colombia;Pernoctaciones;Canarias;2023M06;16.609
Total;América;Colombia;Pernoctaciones;Canarias;2023M05;13.507
Total;América;Colombia;Pernoctaciones;Canarias;2023M04;14.229
Total;América;Colombia;Pernoctaciones;Canarias;2023M03;11.000
Total;América;Colombia;Pernoctaciones;Canarias;2023M02;11.348
Total;América;Colombia;Pernoctaciones;Canarias;2023M01;20.653
Total;América;Colombia;Duración media de los viajes;Balears, Illes;2023M09;8,1
Total;América;Colombia;Duración media de los viajes;Balears, Illes;2023M08;8,9
Total;América;Colombia;Duración media de los viajes;Balears, Illes;2023M07;8,1
Total;América;Colombia;Duración media de los viajes;Balears, Illes;2023M06;9,6
Total;América;Colombia;Duración media de los viajes;Balears, Illes;2023M05;10,0
Total;América;Colombia;Duración media de los viajes;Balears, Illes;2023M04;10,1
Total;América;Colombia;Duración media de los viajes;Balears, Illes;2023M03;10,2
Total;América;Colombia;Duración media de los viajes;Balears, Illes;2023M02;9,5
Total;América;Colombia;Duración media de los viajes;Balears, Illes;2023M01;13,0
Total;América;Colombia;Duración media de los viajes;Canarias;2023M09;8,6
Total;América;Colombia;Duración media de los viajes;Canarias;2023M08;9,2
Total;América;Colombia;Duración media de los viajes;Canarias;2023M07;8,2
Total;América;Colombia;Duración media de los viajes;Canarias;2023M06;10,1
Total;América;Colombia;Duración media de los viajes;Canarias;2023M05;9,9
Total;América;Colombia;Duración media de los viajes;Canarias;2023M04;10,4
Total;América;Colombia;Duración media de los viajes;Canarias;2023M03;10,3
Total;América;Colombia;Duración media de los viajes;Canarias;2023M02;9,3
Total;América;Colombia;Duración media de los viajes;Canarias;2023M01;12,8
Total;América;Costa Rica;Turistas;Balears, Illes;2023M09;57
Total;América;Costa Rica;Turistas;Balears, Illes;2023M08;82
Total;América;Costa Rica;Turistas;Balears, Illes;2023M07;97
Total;América;Costa Rica;Turistas;Balears, Illes;2023M06;93
Total;América;Costa Rica;Turistas;Balears, Illes;2023M05;112
Total;América;Costa Rica;Turistas;Balears, Illes;2023M04;75
Total;América;Costa Rica;Turistas;Balears, Illes;2023M03;30
Total;América;Costa Rica;Turistas;Balears, Illes;2023M02;.
Total;América;Costa Rica;Turistas;Balears, Illes;2023M01;.
Total;América;Costa Rica;Turistas;Canarias;2023M09;.
Total;América;Costa Rica;Turistas;Canarias;2023M08;.
Total;América;Costa Rica;Turistas;Canarias;2023M07;.
Total;América;Costa Rica;Turistas;Canarias;2023M06;.
Total;América;Costa Rica;Turistas;Canarias;2023M05;32
Total;América;Costa Rica;Turistas;Canarias;2023M04;.
Total;América;Costa Rica;Turistas;Canarias;2023M03;.
Total;América;Costa Rica;Turistas;Canarias;2023M02;.
Total;América;Costa Rica;Turistas;Canarias;2023M01;.
Total;América;Costa Rica;Pernoctaciones;Balears, Illes;2023M09;422
Total;América;Costa Rica;Pernoctaciones;Balears, Illes;2023M08;664
Total;América;Costa Rica;Pernoctaciones;Balears, Illes;2023M07;786
Total;América;Costa Rica;Pernoctaciones;Balears, Illes;2023M06;763
Total;América;Costa Rica;Pernoctaciones;Balears, Illes;2023M05;784
Total;América;Costa Rica;Pernoctaciones;Balears, Illes;2023M04;435
Total;América;Costa Rica;Pernoctaciones;Balears, Illes;2023M03;186
Total;América;Costa Rica;Pernoctaciones;Balears, Illes;2023M02;.
Total;América;Costa Rica;Pernoctaciones;Balears, Illes;2023M01;.
Total;América;Costa Rica;Pernoctaciones;Canarias;2023M09;.
Total;América;Costa Rica;Pernoctaciones;Canarias;2023M08;.
Total;América;Costa Rica;Pernoctaciones;Canarias;2023M07;.
Total;América;Costa Rica;Pernoctaciones;Canarias;2023M06;.
Total;América;Costa Rica;Pernoctaciones;Canarias;2023M05;237
Total;América;Costa Rica;Pernoctaciones;Canarias;2023M04;.
Total;América;Costa Rica;Pernoctaciones;Canarias;2023M03;.
Total;América;Costa Rica;Pernoctaciones;Canarias;2023M02;.
Total;América;Costa Rica;Pernoctaciones;Canarias;2023M01;.
Total;América;Costa Rica;Duración media de los viajes;Balears, Illes;2023M09;7,4
Total;América;Costa Rica;Duración media de los viajes;Balears, Illes;2023M08;8,1
Total;América;Costa Rica;Duración media de los viajes;Balears, Illes;2023M07;8,1
Total;América;Costa Rica;Duración media de los viajes;Balears, Illes;2023M06;8,2
Total;América;Costa Rica;Duración media de los viajes;Balears, Illes;2023M05;7,0
Total;América;Costa Rica;Duración media de los viajes;Balears, Illes;2023M04;5,8
Total;América;Costa Rica;Duración media de los viajes;Balears, Illes;2023M03;6,2
Total;América;Costa Rica;Duración media de los viajes;Balears, Illes;2023M02;.
Total;América;Costa Rica;Duración media de los viajes;Balears, Illes;2023M01;.
Total;América;Costa Rica;Duración media de los viajes;Canarias;2023M09;.
Total;América;Costa Rica;Duración media de los viajes;Canarias;2023M08;.
Total;América;Costa Rica;Duración media de los viajes;Canarias;2023M07;.
Total;América;Costa Rica;Duración media de los viajes;Canarias;2023M06;.
Total;América;Costa Rica;Duración media de los viajes;Canarias;2023M05;7,4
Total;América;Costa Rica;Duración media de los viajes;Canarias;2023M04;.
Total;América;Costa Rica;Duración media de los viajes;Canarias;2023M03;.
Total;América;Costa Rica;Duración media de los viajes;Canarias;2023M02;.
Total;América;Costa Rica;Duración media de los viajes;Canarias;2023M01;.
Total;América;Cuba;Turistas;Balears, Illes;2023M09;.
Total;América;Cuba;Turistas;Balears, Illes;2023M08;.
Total;América;Cuba;Turistas;Balears, Illes;2023M07;.
Total;América;Cuba;Turistas;Balears, Illes;2023M06;.
Total;América;Cuba;Turistas;Balears, Illes;2023M05;.
Total;América;Cuba;Turistas;Balears, Illes;2023M04;.
Total;América;Cuba;Turistas;Balears, Illes;2023M03;.
Total;América;Cuba;Turistas;Balears, Illes;2023M02;.
Total;América;Cuba;Turistas;Balears, Illes;2023M01;.
Total;América;Cuba;Turistas;Canarias;2023M09;123
Total;América;Cuba;Turistas;Canarias;2023M08;129
Total;América;Cuba;Turistas;Canarias;2023M07;141
Total;América;Cuba;Turistas;Canarias;2023M06;52
Total;América;Cuba;Turistas;Canarias;2023M05;.
Total;América;Cuba;Turistas;Canarias;2023M04;.
Total;América;Cuba;Turistas;Canarias;2023M03;.
Total;América;Cuba;Turistas;Canarias;2023M02;.
Total;América;Cuba;Turistas;Canarias;2023M01;.
Total;América;Cuba;Pernoctaciones;Balears, Illes;2023M09;.
Total;América;Cuba;Pernoctaciones;Balears, Illes;2023M08;.
Total;América;Cuba;Pernoctaciones;Balears, Illes;2023M07;.
Total;América;Cuba;Pernoctaciones;Balears, Illes;2023M06;.
Total;América;Cuba;Pernoctaciones;Balears, Illes;2023M05;.
Total;América;Cuba;Pernoctaciones;Balears, Illes;2023M04;.
Total;América;Cuba;Pernoctaciones;Balears, Illes;2023M03;.
Total;América;Cuba;Pernoctaciones;Balears, Illes;2023M02;.
Total;América;Cuba;Pernoctaciones;Balears, Illes;2023M01;.
Total;América;Cuba;Pernoctaciones;Canarias;2023M09;618
Total;América;Cuba;Pernoctaciones;Canarias;2023M08;676
Total;América;Cuba;Pernoctaciones;Canarias;2023M07;528
Total;América;Cuba;Pernoctaciones;Canarias;2023M06;415
Total;América;Cuba;Pernoctaciones;Canarias;2023M05;.
Total;América;Cuba;Pernoctaciones;Canarias;2023M04;.
Total;América;Cuba;Pernoctaciones;Canarias;2023M03;.
Total;América;Cuba;Pernoctaciones;Canarias;2023M02;.
Total;América;Cuba;Pernoctaciones;Canarias;2023M01;.
Total;América;Cuba;Duración media de los viajes;Balears, Illes;2023M09;.
Total;América;Cuba;Duración media de los viajes;Balears, Illes;2023M08;.
Total;América;Cuba;Duración media de los viajes;Balears, Illes;2023M07;.
Total;América;Cuba;Duración media de los viajes;Balears, Illes;2023M06;.
Total;América;Cuba;Duración media de los viajes;Balears, Illes;2023M05;.
Total;América;Cuba;Duración media de los viajes;Balears, Illes;2023M04;.
Total;América;Cuba;Duración media de los viajes;Balears, Illes;2023M03;.
Total;América;Cuba;Duración media de los viajes;Balears, Illes;2023M02;.
Total;América;Cuba;Duración media de los viajes;Balears, Illes;2023M01;.
Total;América;Cuba;Duración media de los viajes;Canarias;2023M09;5,0
Total;América;Cuba;Duración media de los viajes;Canarias;2023M08;5,2
Total;América;Cuba;Duración media de los viajes;Canarias;2023M07;3,7
Total;América;Cuba;Duración media de los viajes;Canarias;2023M06;8,0
Total;América;Cuba;Duración media de los viajes;Canarias;2023M05;.
Total;América;Cuba;Duración media de los viajes;Canarias;2023M04;.
Total;América;Cuba;Duración media de los viajes;Canarias;2023M03;.
Total;América;Cuba;Duración media de los viajes;Canarias;2023M02;.
Total;América;Cuba;Duración media de los viajes;Canarias;2023M01;.
Total;América;Dominica;Turistas;Balears, Illes;2023M09;""
Total;América;Dominica;Turistas;Balears, Illes;2023M08;""
Total;América;Dominica;Turistas;Balears, Illes;2023M07;""
Total;América;Dominica;Turistas;Balears, Illes;2023M06;""
Total;América;Dominica;Turistas;Balears, Illes;2023M05;""
Total;América;Dominica;Turistas;Balears, Illes;2023M04;""
Total;América;Dominica;Turistas;Balears, Illes;2023M03;""
Total;América;Dominica;Turistas;Balears, Illes;2023M02;""
Total;América;Dominica;Turistas;Balears, Illes;2023M01;""
Total;América;Dominica;Turistas;Canarias;2023M09;""
Total;América;Dominica;Turistas;Canarias;2023M08;""
Total;América;Dominica;Turistas;Canarias;2023M07;""
Total;América;Dominica;Turistas;Canarias;2023M06;""
Total;América;Dominica;Turistas;Canarias;2023M05;""
Total;América;Dominica;Turistas;Canarias;2023M04;""
Total;América;Dominica;Turistas;Canarias;2023M03;""
Total;América;Dominica;Turistas;Canarias;2023M02;""
Total;América;Dominica;Turistas;Canarias;2023M01;""
Total;América;Dominica;Pernoctaciones;Balears, Illes;2023M09;""
Total;América;Dominica;Pernoctaciones;Balears, Illes;2023M08;""
Total;América;Dominica;Pernoctaciones;Balears, Illes;2023M07;""
Total;América;Dominica;Pernoctaciones;Balears, Illes;2023M06;""
Total;América;Dominica;Pernoctaciones;Balears, Illes;2023M05;""
Total;América;Dominica;Pernoctaciones;Balears, Illes;2023M04;""
Total;América;Dominica;Pernoctaciones;Balears, Illes;2023M03;""
Total;América;Dominica;Pernoctaciones;Balears, Illes;2023M02;""
Total;América;Dominica;Pernoctaciones;Balears, Illes;2023M01;""
Total;América;Dominica;Pernoctaciones;Canarias;2023M09;""
Total;América;Dominica;Pernoctaciones;Canarias;2023M08;""
Total;América;Dominica;Pernoctaciones;Canarias;2023M07;""
Total;América;Dominica;Pernoctaciones;Canarias;2023M06;""
Total;América;Dominica;Pernoctaciones;Canarias;2023M05;""
Total;América;Dominica;Pernoctaciones;Canarias;2023M04;""
Total;América;Dominica;Pernoctaciones;Canarias;2023M03;""
Total;América;Dominica;Pernoctaciones;Canarias;2023M02;""
Total;América;Dominica;Pernoctaciones;Canarias;2023M01;""
Total;América;Dominica;Duración media de los viajes;Balears, Illes;2023M09;""
Total;América;Dominica;Duración media de los viajes;Balears, Illes;2023M08;""
Total;América;Dominica;Duración media de los viajes;Balears, Illes;2023M07;""
Total;América;Dominica;Duración media de los viajes;Balears, Illes;2023M06;""
Total;América;Dominica;Duración media de los viajes;Balears, Illes;2023M05;""
Total;América;Dominica;Duración media de los viajes;Balears, Illes;2023M04;""
Total;América;Dominica;Duración media de los viajes;Balears, Illes;2023M03;""
Total;América;Dominica;Duración media de los viajes;Balears, Illes;2023M02;""
Total;América;Dominica;Duración media de los viajes;Balears, Illes;2023M01;""
Total;América;Dominica;Duración media de los viajes;Canarias;2023M09;""
Total;América;Dominica;Duración media de los viajes;Canarias;2023M08;""
Total;América;Dominica;Duración media de los viajes;Canarias;2023M07;""
Total;América;Dominica;Duración media de los viajes;Canarias;2023M06;""
Total;América;Dominica;Duración media de los viajes;Canarias;2023M05;""
Total;América;Dominica;Duración media de los viajes;Canarias;2023M04;""
Total;América;Dominica;Duración media de los viajes;Canarias;2023M03;""
Total;América;Dominica;Duración media de los viajes;Canarias;2023M02;""
Total;América;Dominica;Duración media de los viajes;Canarias;2023M01;""
Total;América;Ecuador;Turistas;Balears, Illes;2023M09;240
Total;América;Ecuador;Turistas;Balears, Illes;2023M08;262
Total;América;Ecuador;Turistas;Balears, Illes;2023M07;315
Total;América;Ecuador;Turistas;Balears, Illes;2023M06;198
Total;América;Ecuador;Turistas;Balears, Illes;2023M05;191
Total;América;Ecuador;Turistas;Balears, Illes;2023M04;148
Total;América;Ecuador;Turistas;Balears, Illes;2023M03;108
Total;América;Ecuador;Turistas;Balears, Illes;2023M02;72
Total;América;Ecuador;Turistas;Balears, Illes;2023M01;77
Total;América;Ecuador;Turistas;Canarias;2023M09;103
Total;América;Ecuador;Turistas;Canarias;2023M08;101
Total;América;Ecuador;Turistas;Canarias;2023M07;105
Total;América;Ecuador;Turistas;Canarias;2023M06;88
Total;América;Ecuador;Turistas;Canarias;2023M05;70
Total;América;Ecuador;Turistas;Canarias;2023M04;72
Total;América;Ecuador;Turistas;Canarias;2023M03;62
Total;América;Ecuador;Turistas;Canarias;2023M02;93
Total;América;Ecuador;Turistas;Canarias;2023M01;64
Total;América;Ecuador;Pernoctaciones;Balears, Illes;2023M09;1.752
Total;América;Ecuador;Pernoctaciones;Balears, Illes;2023M08;1.913
Total;América;Ecuador;Pernoctaciones;Balears, Illes;2023M07;2.079
Total;América;Ecuador;Pernoctaciones;Balears, Illes;2023M06;1.386
Total;América;Ecuador;Pernoctaciones;Balears, Illes;2023M05;1.681
Total;América;Ecuador;Pernoctaciones;Balears, Illes;2023M04;1.184
Total;América;Ecuador;Pernoctaciones;Balears, Illes;2023M03;1.091
Total;América;Ecuador;Pernoctaciones;Balears, Illes;2023M02;338
Total;América;Ecuador;Pernoctaciones;Balears, Illes;2023M01;916
Total;América;Ecuador;Pernoctaciones;Canarias;2023M09;841
Total;América;Ecuador;Pernoctaciones;Canarias;2023M08;862
Total;América;Ecuador;Pernoctaciones;Canarias;2023M07;780
Total;América;Ecuador;Pernoctaciones;Canarias;2023M06;920
Total;América;Ecuador;Pernoctaciones;Canarias;2023M05;566
Total;América;Ecuador;Pernoctaciones;Canarias;2023M04;764
Total;América;Ecuador;Pernoctaciones;Canarias;2023M03;800
Total;América;Ecuador;Pernoctaciones;Canarias;2023M02;1.077
Total;América;Ecuador;Pernoctaciones;Canarias;2023M01;737
Total;América;Ecuador;Duración media de los viajes;Balears, Illes;2023M09;7,3
Total;América;Ecuador;Duración media de los viajes;Balears, Illes;2023M08;7,3
Total;América;Ecuador;Duración media de los viajes;Balears, Illes;2023M07;6,6
Total;América;Ecuador;Duración media de los viajes;Balears, Illes;2023M06;7,0
Total;América;Ecuador;Duración media de los viajes;Balears, Illes;2023M05;8,8
Total;América;Ecuador;Duración media de los viajes;Balears, Illes;2023M04;8,0
Total;América;Ecuador;Duración media de los viajes;Balears, Illes;2023M03;10,1
Total;América;Ecuador;Duración media de los viajes;Balears, Illes;2023M02;4,7
Total;América;Ecuador;Duración media de los viajes;Balears, Illes;2023M01;11,9
Total;América;Ecuador;Duración media de los viajes;Canarias;2023M09;8,2
Total;América;Ecuador;Duración media de los viajes;Canarias;2023M08;8,5
Total;América;Ecuador;Duración media de los viajes;Canarias;2023M07;7,4
Total;América;Ecuador;Duración media de los viajes;Canarias;2023M06;10,5
Total;América;Ecuador;Duración media de los viajes;Canarias;2023M05;8,1
Total;América;Ecuador;Duración media de los viajes;Canarias;2023M04;10,6
Total;América;Ecuador;Duración media de los viajes;Canarias;2023M03;12,9
Total;América;Ecuador;Duración media de los viajes;Canarias;2023M02;11,6
Total;América;Ecuador;Duración media de los viajes;Canarias;2023M01;11,5
Total;América;El Salvador;Turistas;Balears, Illes;2023M09;44
Total;América;El Salvador;Turistas;Balears, Illes;2023M08;75
Total;América;El Salvador;Turistas;Balears, Illes;2023M07;34
Total;América;El Salvador;Turistas;Balears, Illes;2023M06;89
Total;América;El Salvador;Turistas;Balears, Illes;2023M05;66
Total;América;El Salvador;Turistas;Balears, Illes;2023M04;.
Total;América;El Salvador;Turistas;Balears, Illes;2023M03;.
Total;América;El Salvador;Turistas;Balears, Illes;2023M02;.
Total;América;El Salvador;Turistas;Balears, Illes;2023M01;.
Total;América;El Salvador;Turistas;Canarias;2023M09;.
Total;América;El Salvador;Turistas;Canarias;2023M08;.
Total;América;El Salvador;Turistas;Canarias;2023M07;.
Total;América;El Salvador;Turistas;Canarias;2023M06;.
Total;América;El Salvador;Turistas;Canarias;2023M05;.
Total;América;El Salvador;Turistas;Canarias;2023M04;.
Total;América;El Salvador;Turistas;Canarias;2023M03;.
Total;América;El Salvador;Turistas;Canarias;2023M02;.
Total;América;El Salvador;Turistas;Canarias;2023M01;.
Total;América;El Salvador;Pernoctaciones;Balears, Illes;2023M09;167
Total;América;El Salvador;Pernoctaciones;Balears, Illes;2023M08;413
Total;América;El Salvador;Pernoctaciones;Balears, Illes;2023M07;218
Total;América;El Salvador;Pernoctaciones;Balears, Illes;2023M06;267
Total;América;El Salvador;Pernoctaciones;Balears, Illes;2023M05;106
Total;América;El Salvador;Pernoctaciones;Balears, Illes;2023M04;.
Total;América;El Salvador;Pernoctaciones;Balears, Illes;2023M03;.
Total;América;El Salvador;Pernoctaciones;Balears, Illes;2023M02;.
Total;América;El Salvador;Pernoctaciones;Balears, Illes;2023M01;.
Total;América;El Salvador;Pernoctaciones;Canarias;2023M09;.
Total;América;El Salvador;Pernoctaciones;Canarias;2023M08;.
Total;América;El Salvador;Pernoctaciones;Canarias;2023M07;.
Total;América;El Salvador;Pernoctaciones;Canarias;2023M06;.
Total;América;El Salvador;Pernoctaciones;Canarias;2023M05;.
Total;América;El Salvador;Pernoctaciones;Canarias;2023M04;.
Total;América;El Salvador;Pernoctaciones;Canarias;2023M03;.
Total;América;El Salvador;Pernoctaciones;Canarias;2023M02;.
Total;América;El Salvador;Pernoctaciones;Canarias;2023M01;.
Total;América;El Salvador;Duración media de los viajes;Balears, Illes;2023M09;3,8
Total;América;El Salvador;Duración media de los viajes;Balears, Illes;2023M08;5,5
Total;América;El Salvador;Duración media de los viajes;Balears, Illes;2023M07;6,4
Total;América;El Salvador;Duración media de los viajes;Balears, Illes;2023M06;3,0
Total;América;El Salvador;Duración media de los viajes;Balears, Illes;2023M05;1,6
Total;América;El Salvador;Duración media de los viajes;Balears, Illes;2023M04;.
Total;América;El Salvador;Duración media de los viajes;Balears, Illes;2023M03;.
Total;América;El Salvador;Duración media de los viajes;Balears, Illes;2023M02;.
Total;América;El Salvador;Duración media de los viajes;Balears, Illes;2023M01;.
Total;América;El Salvador;Duración media de los viajes;Canarias;2023M09;.
Total;América;El Salvador;Duración media de los viajes;Canarias;2023M08;.
Total;América;El Salvador;Duración media de los viajes;Canarias;2023M07;.
Total;América;El Salvador;Duración media de los viajes;Canarias;2023M06;.
Total;América;El Salvador;Duración media de los viajes;Canarias;2023M05;.
Total;América;El Salvador;Duración media de los viajes;Canarias;2023M04;.
Total;América;El Salvador;Duración media de los viajes;Canarias;2023M03;.
Total;América;El Salvador;Duración media de los viajes;Canarias;2023M02;.
Total;América;El Salvador;Duración media de los viajes;Canarias;2023M01;.
Total;América;Estados Unidos de América;Turistas;Balears, Illes;2023M09;45.263
Total;América;Estados Unidos de América;Turistas;Balears, Illes;2023M08;39.805
Total;América;Estados Unidos de América;Turistas;Balears, Illes;2023M07;66.552
