RESIDENCIA/ORIGEN;Continentes;Países;CCAA de destino;Concepto turístico;Periodo;Total
Total;Europa;Andorra;Balears, Illes;Turistas;2020M01;65
Total;Europa;Andorra;Balears, Illes;Pernoctaciones;2020M12;847
Total;Europa;Andorra;Balears, Illes;Pernoctaciones;2020M11;842
Total;Europa;Andorra;Balears, Illes;Pernoctaciones;2020M10;2.255
Total;Europa;Andorra;Balears, Illes;Pernoctaciones;2020M09;5.114
Total;Europa;Andorra;Balears, Illes;Pernoctaciones;2020M08;8.965
Total;Europa;Andorra;Balears, Illes;Pernoctaciones;2020M07;3.028
Total;Europa;Andorra;Balears, Illes;Pernoctaciones;2020M06;448
Total;Europa;Andorra;Balears, Illes;Pernoctaciones;2020M05;504
Total;Europa;Andorra;Balears, Illes;Pernoctaciones;2020M04;.
Total;Europa;Andorra;Balears, Illes;Pernoctaciones;2020M03;618
Total;Europa;Andorra;Balears, Illes;Pernoctaciones;2020M02;616
Total;Europa;Andorra;Balears, Illes;Pernoctaciones;2020M01;514
Total;Europa;Andorra;Balears, Illes;Duración media de los viajes;2020M12;11,6
Total;Europa;Andorra;Balears, Illes;Duración media de los viajes;2020M11;10,8
Total;Europa;Andorra;Balears, Illes;Duración media de los viajes;2020M10;11,0
Total;Europa;Andorra;Balears, Illes;Duración media de los viajes;2020M09;9,4
Total;Europa;Andorra;Balears, Illes;Duración media de los viajes;2020M08;11,0
Total;Europa;Andorra;Balears, Illes;Duración media de los viajes;2020M07;8,7
Total;Europa;Andorra;Balears, Illes;Duración media de los viajes;2020M06;7,0
Total;Europa;Andorra;Balears, Illes;Duración media de los viajes;2020M05;14,0
Total;Europa;Andorra;Balears, Illes;Duración media de los viajes;2020M04;.
Total;Europa;Andorra;Balears, Illes;Duración media de los viajes;2020M03;8,7
Total;Europa;Andorra;Balears, Illes;Duración media de los viajes;2020M02;7,0
Total;Europa;Andorra;Balears, Illes;Duración media de los viajes;2020M01;7,9
Total;Europa;Andorra;Canarias;Turistas;2020M12;57
Total;Europa;Andorra;Canarias;Turistas;2020M11;109
Total;Europa;Andorra;Canarias;Turistas;2020M10;114
Total;Europa;Andorra;Canarias;Turistas;2020M09;123
Total;Europa;Andorra;Canarias;Turistas;2020M08;69
Total;Europa;Andorra;Canarias;Turistas;2020M07;42
Total;Europa;Andorra;Canarias;Turistas;2020M06;.
Total;Europa;Andorra;Canarias;Turistas;2020M05;.
