Comunidades y Ciudades Autónomas de destino;País de residencia;Periodo;Total
Andalucía;Suiza;2022T4;49.780.080,63
Andalucía;Suiza;2022T3;67.149.100,34
Andalucía;Suiza;2022T2;55.857.152,01
Andalucía;Suiza;2022T1;27.258.063,43
Andalucía;Suiza;2021T4;38.872.247,06
Andalucía;Suiza;2021T3;44.641.723,93
Andalucía;Suiza;2021T2;15.702.256
Andalucía;Suiza;2021T1;3.537.636,51
Andalucía;Suiza;2020T4;5.582.729,46
Andalucía;Suiza;2020T3;15.721.434,21
Andalucía;Suiza;2020T2;.
Andalucía;Suiza;2020T1;26.071.980,51
Andalucía;Suiza;2019T4;43.453.994,82
Andalucía;Suiza;2019T3;64.044.025,54
Andalucía;Suiza;2019T2;51.862.879,12
Andalucía;Suiza;2019T1;36.162.650,96
Andalucía;Suiza;2018T4;43.596.710,01
Andalucía;Suiza;2018T3;63.487.725,8
Andalucía;Suiza;2018T2;54.604.787,39
Andalucía;Suiza;2018T1;35.997.542,35
Andalucía;Otros Países Europeos;2023T2;106.264.140,74
Andalucía;Otros Países Europeos;2023T1;73.135.522,18
Andalucía;Otros Países Europeos;2022T4;77.145.842,48
Andalucía;Otros Países Europeos;2022T3;88.290.022,7
Andalucía;Otros Países Europeos;2022T2;76.640.143,69
Andalucía;Otros Países Europeos;2022T1;49.008.937,14
Andalucía;Otros Países Europeos;2021T4;54.721.566,2
Andalucía;Otros Países Europeos;2021T3;52.287.166,84
Andalucía;Otros Países Europeos;2021T2;20.876.149,09
Andalucía;Otros Países Europeos;2021T1;6.599.852,64
Andalucía;Otros Países Europeos;2020T4;9.979.554,43
Andalucía;Otros Países Europeos;2020T3;19.977.489,36
Andalucía;Otros Países Europeos;2020T2;.
Andalucía;Otros Países Europeos;2020T1;35.715.043,37
Andalucía;Otros Países Europeos;2019T4;50.163.002,98
Andalucía;Otros Países Europeos;2019T3;70.191.107,61
Andalucía;Otros Países Europeos;2019T2;59.329.729,65
Andalucía;Otros Países Europeos;2019T1;48.952.012,07
Andalucía;Otros Países Europeos;2018T4;49.619.166,31
Andalucía;Otros Países Europeos;2018T3;70.614.591,46
Andalucía;Otros Países Europeos;2018T2;57.965.527,37
Andalucía;Otros Países Europeos;2018T1;43.764.714,51
Andalucía;Argentina;2023T2;9.806.260,98
Andalucía;Argentina;2023T1;5.570.443,69
Andalucía;Argentina;2022T4;7.957.542,86
Andalucía;Argentina;2022T3;16.428.184,44
Andalucía;Argentina;2022T2;11.649.837,21
Andalucía;Argentina;2022T1;5.767.766,67
Andalucía;Argentina;2021T4;4.481.404,53
Andalucía;Argentina;2021T3;3.382.213,35
Andalucía;Argentina;2021T2;1.111.038,45
Andalucía;Argentina;2021T1;420.870,6
Andalucía;Argentina;2020T4;827.608,87
Andalucía;Argentina;2020T3;1.997.855,94
Andalucía;Argentina;2020T2;.
Andalucía;Argentina;2020T1;3.200.344,33
Andalucía;Argentina;2019T4;7.770.179,53
Andalucía;Argentina;2019T3;12.072.000,56
Andalucía;Argentina;2019T2;11.027.822,54
Andalucía;Argentina;2019T1;7.693.589,24
Andalucía;Argentina;2018T4;6.933.186,26
Andalucía;Argentina;2018T3;12.709.367,86
Andalucía;Argentina;2018T2;16.050.113,65
Andalucía;Argentina;2018T1;11.944.412,14
Andalucía;Brasil;2023T2;7.795.367,7
Andalucía;Brasil;2023T1;4.729.155,28
Andalucía;Brasil;2022T4;4.433.774,61
Andalucía;Brasil;2022T3;4.623.310,56
Andalucía;Brasil;2022T2;4.081.276,44
Andalucía;Brasil;2022T1;1.971.623,65
Andalucía;Brasil;2021T4;2.013.488,47
Andalucía;Brasil;2021T3;897.229,11
Andalucía;Brasil;2021T2;285.602,42
Andalucía;Brasil;2021T1;113.429,31
Andalucía;Brasil;2020T4;218.570,43
Andalucía;Brasil;2020T3;496.275,48
Andalucía;Brasil;2020T2;.
Andalucía;Brasil;2020T1;3.991.923,77
Andalucía;Brasil;2019T4;4.252.832,42
Andalucía;Brasil;2019T3;5.716.147,3
Andalucía;Brasil;2019T2;5.575.267,35
Andalucía;Brasil;2019T1;5.959.967,04
Andalucía;Brasil;2018T4;4.848.414,81
Andalucía;Brasil;2018T3;5.333.982,21
Andalucía;Brasil;2018T2;5.735.358,74
Andalucía;Brasil;2018T1;5.564.183,73
Andalucía;Canadá;2023T2;25.490.781,27
Andalucía;Canadá;2023T1;24.680.159,5
Andalucía;Canadá;2022T4;15.927.202,04
Andalucía;Canadá;2022T3;21.133.785,78
Andalucía;Canadá;2022T2;15.139.760,33
Andalucía;Canadá;2022T1;7.831.904,24
Andalucía;Canadá;2021T4;6.197.944,32
Andalucía;Canadá;2021T3;3.846.263,38
Andalucía;Canadá;2021T2;886.169,29
Andalucía;Canadá;2021T1;362.131,11
Andalucía;Canadá;2020T4;703.310,48
Andalucía;Canadá;2020T3;1.357.878,68
Andalucía;Canadá;2020T2;.
Andalucía;Canadá;2020T1;16.020.300,77
Andalucía;Canadá;2019T4;15.174.743,33
Andalucía;Canadá;2019T3;19.201.490,49
Andalucía;Canadá;2019T2;18.188.263,06
Andalucía;Canadá;2019T1;20.206.827,35
Andalucía;Canadá;2018T4;13.579.511,96
Andalucía;Canadá;2018T3;19.581.687,07
Andalucía;Canadá;2018T2;17.669.388,82
Andalucía;Canadá;2018T1;17.974.563,79
Andalucía;Chile;2023T2;7.914.373,69
Andalucía;Chile;2023T1;5.284.786,25
Andalucía;Chile;2022T4;5.465.950,46
Andalucía;Chile;2022T3;6.513.549,13
Andalucía;Chile;2022T2;6.077.832,81
Andalucía;Chile;2022T1;3.505.467,58
Andalucía;Chile;2021T4;3.912.863,98
Andalucía;Chile;2021T3;3.664.847,56
Andalucía;Chile;2021T2;700.215,82
Andalucía;Chile;2021T1;269.932,68
Andalucía;Chile;2020T4;456.466,95
Andalucía;Chile;2020T3;957.655,96
Andalucía;Chile;2020T2;.
Andalucía;Chile;2020T1;2.583.001,92
Andalucía;Chile;2019T4;3.389.313,37
Andalucía;Chile;2019T3;5.379.002,07
Andalucía;Chile;2019T2;4.689.577,38
Andalucía;Chile;2019T1;3.482.281,1
Andalucía;Chile;2018T4;3.086.861,27
Andalucía;Chile;2018T3;4.949.508,19
Andalucía;Chile;2018T2;4.356.219,44
Andalucía;Chile;2018T1;3.242.746,4
Andalucía;Colombia;2023T2;6.260.095,73
Andalucía;Colombia;2023T1;3.543.603,95
Andalucía;Colombia;2022T4;4.617.481,51
Andalucía;Colombia;2022T3;5.100.562,73
Andalucía;Colombia;2022T2;4.729.113,89
Andalucía;Colombia;2022T1;2.255.604,08
Andalucía;Colombia;2021T4;2.700.826,01
Andalucía;Colombia;2021T3;1.716.340,62
Andalucía;Colombia;2021T2;366.985,56
Andalucía;Colombia;2021T1;148.296,81
Andalucía;Colombia;2020T4;262.153,13
Andalucía;Colombia;2020T3;516.451,78
Andalucía;Colombia;2020T2;.
Andalucía;Colombia;2020T1;1.645.953,93
Andalucía;Colombia;2019T4;2.634.220,31
Andalucía;Colombia;2019T3;2.933.704,89
Andalucía;Colombia;2019T2;3.130.014,93
Andalucía;Colombia;2019T1;1.977.241,78
Andalucía;Colombia;2018T4;2.570.791,19
Andalucía;Colombia;2018T3;3.128.721,16
Andalucía;Colombia;2018T2;3.142.718,77
Andalucía;Colombia;2018T1;2.177.462,65
Andalucía;Estados Unidos de América;2023T2;203.508.594,87
Andalucía;Estados Unidos de América;2023T1;116.034.203,05
Andalucía;Estados Unidos de América;2022T4;131.315.354,99
Andalucía;Estados Unidos de América;2022T3;168.200.667,45
Andalucía;Estados Unidos de América;2022T2;139.928.810,25
Andalucía;Estados Unidos de América;2022T1;66.887.154,83
Andalucía;Estados Unidos de América;2021T4;74.928.416,24
Andalucía;Estados Unidos de América;2021T3;75.277.049,99
Andalucía;Estados Unidos de América;2021T2;23.259.264,27
Andalucía;Estados Unidos de América;2021T1;7.859.230,17
Andalucía;Estados Unidos de América;2020T4;13.912.257,73
Andalucía;Estados Unidos de América;2020T3;30.527.647,98
Andalucía;Estados Unidos de América;2020T2;.
Andalucía;Estados Unidos de América;2020T1;78.150.130,33
Andalucía;Estados Unidos de América;2019T4;124.065.244,49
Andalucía;Estados Unidos de América;2019T3;165.315.830,3
Andalucía;Estados Unidos de América;2019T2;161.623.328,3
Andalucía;Estados Unidos de América;2019T1;121.670.683,13
Andalucía;Estados Unidos de América;2018T4;134.060.650,1
Andalucía;Estados Unidos de América;2018T3;185.794.725,24
