RESIDENCIA/ORIGEN;Continentes;Países;CCAA de destino;Concepto turístico;Periodo;Total
Total;Europa;Andorra;Balears, Illes;Duración media de los viajes;2021M02;6,2
Total;Europa;Andorra;Balears, Illes;Duración media de los viajes;2021M01;7,4
Total;Europa;Andorra;Canarias;Turistas;2021M12;30
Total;Europa;Andorra;Canarias;Turistas;2021M11;133
Total;Europa;Andorra;Canarias;Turistas;2021M10;120
Total;Europa;Andorra;Canarias;Turistas;2021M09;120
Total;Europa;Andorra;Canarias;Turistas;2021M08;147
Total;Europa;Andorra;Canarias;Turistas;2021M07;140
Total;Europa;Andorra;Canarias;Turistas;2021M06;158
Total;Europa;Andorra;Canarias;Turistas;2021M05;168
Total;Europa;Andorra;Canarias;Turistas;2021M04;127
Total;Europa;Andorra;Canarias;Turistas;2021M03;52
Total;Europa;Andorra;Canarias;Turistas;2021M02;34
Total;Europa;Andorra;Canarias;Turistas;2021M01;47
Total;Europa;Andorra;Canarias;Pernoctaciones;2021M12;237
Total;Europa;Andorra;Canarias;Pernoctaciones;2021M11;1.030
Total;Europa;Andorra;Canarias;Pernoctaciones;2021M10;1.084
Total;Europa;Andorra;Canarias;Pernoctaciones;2021M09;1.100
Total;Europa;Andorra;Canarias;Pernoctaciones;2021M08;1.548
Total;Europa;Andorra;Canarias;Pernoctaciones;2021M07;1.209
Total;Europa;Andorra;Canarias;Pernoctaciones;2021M06;1.522
Total;Europa;Andorra;Canarias;Pernoctaciones;2021M05;1.272
Total;Europa;Andorra;Canarias;Pernoctaciones;2021M04;959
Total;Europa;Andorra;Canarias;Pernoctaciones;2021M03;387
Total;Europa;Andorra;Canarias;Pernoctaciones;2021M02;228
Total;Europa;Andorra;Canarias;Pernoctaciones;2021M01;328
Total;Europa;Andorra;Canarias;Duración media de los viajes;2021M12;7,9
Total;Europa;Andorra;Canarias;Duración media de los viajes;2021M11;7,7
Total;Europa;Andorra;Canarias;Duración media de los viajes;2021M10;9,0
Total;Europa;Andorra;Canarias;Duración media de los viajes;2021M09;9,2
Total;Europa;Andorra;Canarias;Duración media de los viajes;2021M08;10,5
Total;Europa;Andorra;Canarias;Duración media de los viajes;2021M07;8,6
Total;Europa;Andorra;Canarias;Duración media de los viajes;2021M06;9,6
Total;Europa;Andorra;Canarias;Duración media de los viajes;2021M05;7,6
Total;Europa;Andorra;Canarias;Duración media de los viajes;2021M04;7,6
Total;Europa;Andorra;Canarias;Duración media de los viajes;2021M03;7,4
Total;Europa;Andorra;Canarias;Duración media de los viajes;2021M02;6,7
Total;Europa;Andorra;Canarias;Duración media de los viajes;2021M01;7,0
Total;Europa;Armenia;Balears, Illes;Turistas;2021M12;.
Total;Europa;Armenia;Balears, Illes;Turistas;2021M11;.
Total;Europa;Armenia;Balears, Illes;Turistas;2021M10;.
Total;Europa;Armenia;Balears, Illes;Turistas;2021M09;.
Total;Europa;Armenia;Balears, Illes;Turistas;2021M08;.
Total;Europa;Armenia;Balears, Illes;Turistas;2021M07;.
Total;Europa;Armenia;Balears, Illes;Turistas;2021M06;.
Total;Europa;Armenia;Balears, Illes;Turistas;2021M05;.
Total;Europa;Armenia;Balears, Illes;Turistas;2021M04;.
Total;Europa;Armenia;Balears, Illes;Turistas;2021M03;.
Total;Europa;Armenia;Balears, Illes;Turistas;2021M02;""
Total;Europa;Armenia;Balears, Illes;Turistas;2021M01;.
Total;Europa;Armenia;Balears, Illes;Pernoctaciones;2021M12;.
Total;Europa;Armenia;Balears, Illes;Pernoctaciones;2021M11;.
Total;Europa;Armenia;Balears, Illes;Pernoctaciones;2021M10;.
Total;Europa;Armenia;Balears, Illes;Pernoctaciones;2021M09;.
Total;Europa;Armenia;Balears, Illes;Pernoctaciones;2021M08;.
Total;Europa;Armenia;Balears, Illes;Pernoctaciones;2021M07;.
Total;Europa;Armenia;Balears, Illes;Pernoctaciones;2021M06;.
Total;Europa;Armenia;Balears, Illes;Pernoctaciones;2021M05;.
Total;Europa;Armenia;Balears, Illes;Pernoctaciones;2021M04;.
Total;Europa;Armenia;Balears, Illes;Pernoctaciones;2021M03;.
Total;Europa;Armenia;Balears, Illes;Pernoctaciones;2021M02;""
Total;Europa;Armenia;Balears, Illes;Pernoctaciones;2021M01;.
Total;Europa;Armenia;Balears, Illes;Duración media de los viajes;2021M12;.
Total;Europa;Armenia;Balears, Illes;Duración media de los viajes;2021M11;.
Total;Europa;Armenia;Balears, Illes;Duración media de los viajes;2021M10;.
Total;Europa;Armenia;Balears, Illes;Duración media de los viajes;2021M09;.
Total;Europa;Armenia;Balears, Illes;Duración media de los viajes;2021M08;.
Total;Europa;Armenia;Balears, Illes;Duración media de los viajes;2021M07;.
Total;Europa;Armenia;Balears, Illes;Duración media de los viajes;2021M06;.
Total;Europa;Armenia;Balears, Illes;Duración media de los viajes;2021M05;.
Total;Europa;Armenia;Balears, Illes;Duración media de los viajes;2021M04;.
Total;Europa;Armenia;Balears, Illes;Duración media de los viajes;2021M03;.
Total;Europa;Armenia;Balears, Illes;Duración media de los viajes;2021M02;""
Total;Europa;Armenia;Balears, Illes;Duración media de los viajes;2021M01;.
Total;Europa;Armenia;Canarias;Turistas;2021M12;.
Total;Europa;Armenia;Canarias;Turistas;2021M11;.
Total;Europa;Armenia;Canarias;Turistas;2021M10;.
Total;Europa;Armenia;Canarias;Turistas;2021M09;.
Total;Europa;Armenia;Canarias;Turistas;2021M08;.
Total;Europa;Armenia;Canarias;Turistas;2021M07;.
Total;Europa;Armenia;Canarias;Turistas;2021M06;.
Total;Europa;Armenia;Canarias;Turistas;2021M05;.
Total;Europa;Armenia;Canarias;Turistas;2021M04;.
Total;Europa;Armenia;Canarias;Turistas;2021M03;.
Total;Europa;Armenia;Canarias;Turistas;2021M02;.
Total;Europa;Armenia;Canarias;Turistas;2021M01;.
Total;Europa;Armenia;Canarias;Pernoctaciones;2021M12;.
Total;Europa;Armenia;Canarias;Pernoctaciones;2021M11;.
Total;Europa;Armenia;Canarias;Pernoctaciones;2021M10;.
Total;Europa;Armenia;Canarias;Pernoctaciones;2021M09;.
Total;Europa;Armenia;Canarias;Pernoctaciones;2021M08;.
Total;Europa;Armenia;Canarias;Pernoctaciones;2021M07;.
Total;Europa;Armenia;Canarias;Pernoctaciones;2021M06;.
Total;Europa;Armenia;Canarias;Pernoctaciones;2021M05;.
Total;Europa;Armenia;Canarias;Pernoctaciones;2021M04;.
Total;Europa;Armenia;Canarias;Pernoctaciones;2021M03;.
Total;Europa;Armenia;Canarias;Pernoctaciones;2021M02;.
Total;Europa;Armenia;Canarias;Pernoctaciones;2021M01;.
Total;Europa;Armenia;Canarias;Duración media de los viajes;2021M12;.
Total;Europa;Armenia;Canarias;Duración media de los viajes;2021M11;.
Total;Europa;Armenia;Canarias;Duración media de los viajes;2021M10;.
Total;Europa;Armenia;Canarias;Duración media de los viajes;2021M09;.
Total;Europa;Armenia;Canarias;Duración media de los viajes;2021M08;.
Total;Europa;Armenia;Canarias;Duración media de los viajes;2021M07;.
Total;Europa;Armenia;Canarias;Duración media de los viajes;2021M06;.
Total;Europa;Armenia;Canarias;Duración media de los viajes;2021M05;.
Total;Europa;Armenia;Canarias;Duración media de los viajes;2021M04;.
Total;Europa;Armenia;Canarias;Duración media de los viajes;2021M03;.
Total;Europa;Armenia;Canarias;Duración media de los viajes;2021M02;.
Total;Europa;Armenia;Canarias;Duración media de los viajes;2021M01;.
Total;Europa;Austria;Balears, Illes;Turistas;2021M12;5.205
Total;Europa;Austria;Balears, Illes;Turistas;2021M11;7.460
Total;Europa;Austria;Balears, Illes;Turistas;2021M10;19.287
Total;Europa;Austria;Balears, Illes;Turistas;2021M09;25.831
Total;Europa;Austria;Balears, Illes;Turistas;2021M08;31.763
Total;Europa;Austria;Balears, Illes;Turistas;2021M07;29.415
Total;Europa;Austria;Balears, Illes;Turistas;2021M06;16.772
Total;Europa;Austria;Balears, Illes;Turistas;2021M05;9.037
Total;Europa;Austria;Balears, Illes;Turistas;2021M04;6.306
Total;Europa;Austria;Balears, Illes;Turistas;2021M03;3.545
Total;Europa;Austria;Balears, Illes;Turistas;2021M02;1.859
Total;Europa;Austria;Balears, Illes;Turistas;2021M01;2.425
Total;Europa;Austria;Balears, Illes;Pernoctaciones;2021M12;45.284
Total;Europa;Austria;Balears, Illes;Pernoctaciones;2021M11;67.140
Total;Europa;Austria;Balears, Illes;Pernoctaciones;2021M10;138.866
Total;Europa;Austria;Balears, Illes;Pernoctaciones;2021M09;178.234
Total;Europa;Austria;Balears, Illes;Pernoctaciones;2021M08;222.341
Total;Europa;Austria;Balears, Illes;Pernoctaciones;2021M07;188.256
Total;Europa;Austria;Balears, Illes;Pernoctaciones;2021M06;105.664
Total;Europa;Austria;Balears, Illes;Pernoctaciones;2021M05;64.163
Total;Europa;Austria;Balears, Illes;Pernoctaciones;2021M04;50.448
Total;Europa;Austria;Balears, Illes;Pernoctaciones;2021M03;29.778
Total;Europa;Austria;Balears, Illes;Pernoctaciones;2021M02;15.058
Total;Europa;Austria;Balears, Illes;Pernoctaciones;2021M01;15.763
Total;Europa;Austria;Balears, Illes;Duración media de los viajes;2021M12;8,7
Total;Europa;Austria;Balears, Illes;Duración media de los viajes;2021M11;9,0
Total;Europa;Austria;Balears, Illes;Duración media de los viajes;2021M10;7,2
Total;Europa;Austria;Balears, Illes;Duración media de los viajes;2021M09;6,9
Total;Europa;Austria;Balears, Illes;Duración media de los viajes;2021M08;7,0
Total;Europa;Austria;Balears, Illes;Duración media de los viajes;2021M07;6,4
Total;Europa;Austria;Balears, Illes;Duración media de los viajes;2021M06;6,3
Total;Europa;Austria;Balears, Illes;Duración media de los viajes;2021M05;7,1
Total;Europa;Austria;Balears, Illes;Duración media de los viajes;2021M04;8,0
Total;Europa;Austria;Balears, Illes;Duración media de los viajes;2021M03;8,4
Total;Europa;Austria;Balears, Illes;Duración media de los viajes;2021M02;8,1
Total;Europa;Austria;Balears, Illes;Duración media de los viajes;2021M01;6,5
Total;Europa;Austria;Canarias;Turistas;2021M12;15.829
Total;Europa;Austria;Canarias;Turistas;2021M11;15.619
Total;Europa;Austria;Canarias;Turistas;2021M10;9.882
Total;Europa;Austria;Canarias;Turistas;2021M09;6.154
Total;Europa;Austria;Canarias;Turistas;2021M08;7.601
Total;Europa;Austria;Canarias;Turistas;2021M07;6.739
Total;Europa;Austria;Canarias;Turistas;2021M06;3.810
Total;Europa;Austria;Canarias;Turistas;2021M05;4.743
Total;Europa;Austria;Canarias;Turistas;2021M04;5.739
Total;Europa;Austria;Canarias;Turistas;2021M03;6.126
Total;Europa;Austria;Canarias;Turistas;2021M02;5.452
Total;Europa;Austria;Canarias;Turistas;2021M01;6.776
Total;Europa;Austria;Canarias;Pernoctaciones;2021M12;152.332
Total;Europa;Austria;Canarias;Pernoctaciones;2021M11;134.019
